2026-03-24 11:00:31, MOVE, v:1, k:ed@gomos, mode:PICK
2026-03-24 11:01:53, MOVE, v:1, k:ed@gomos, mode:BACK
2026-03-24 11:02:34, MOVE, v:1, k:ed@princesa, mode:DOWN
2026-03-24 11:02:36, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-24 11:04:53, MOVE, v:1, k:ed@princesa, mode:BACK
2026-03-24 11:07:35, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-24 11:07:38, EXEC, v:1, k:ed@princesa, mode:FREE, size:5
2026-03-24 11:08:11, EXEC, v:1, k:ed@princesa, mode:FREE
2026-03-24 11:14:06, MOVE, v:1, k:ed@princesa, mode:BACK
2026-03-24 11:14:11, MOVE, v:1, k:ed@apagando, mode:DOWN
2026-03-24 11:14:12, MOVE, v:1, k:ed@apagando, mode:PICK
2026-03-24 11:18:35, MOVE, v:1, k:ed@apagando, mode:BACK
2026-03-24 11:23:38, MOVE, v:1, k:ed@manipulacao, mode:DOWN
2026-03-24 11:23:39, MOVE, v:1, k:ed@manipulacao, mode:PICK
2026-03-24 11:24:30, MOVE, v:1, k:ed@manipulacao, mode:BACK
