2026-04-08 10:45:03, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-08 10:45:04, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-08 10:47:05, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-08 10:47:10, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-08 10:49:21, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-08 10:50:46, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-08 10:51:46, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-08 10:52:10, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-08 11:06:46, MOVE, v:1, k:ed@fractais_png, mode:PICK
